reversed_path,pred_0,pred_1,pred_2,input,mean,deviation,VaR(CCC)
"['h1_4', 'h0_0', 'x_2']",0.0017559691438241722,0.0018379149088029465,0.016988302968973693,x_2,0.006860729007200271,0.008770832032395374,7.692749454049275e-05
"['h1_4', 'h0_4', 'x_2']",0.001709144703066629,0.0017889053131233622,0.016535295130687012,x_2,0.006677781715625668,0.008536950186384768,7.287951848481494e-05
"['h1_1', 'h0_3', 'x_1']",0.00016006005793916733,-0.0009454458534415532,-0.013796676342212108,x_1,-0.004860687379238165,0.00775850887025455,6.019445988981853e-05
"['h1_5', 'h0_3', 'x_1']",0.00011011786893777815,-0.0009571484598253462,-0.013796677435066379,x_1,-0.0048812360086513155,0.007739417692889192,5.9898586225006264e-05
"['h1_5', 'h0_4', 'x_3']",-0.00010972128732230512,0.000953701358223157,0.013746989689760928,x_3,0.00486365658688726,0.007711544734566678,5.946792219322306e-05
"['h1_1', 'h0_4', 'x_3']",-0.00015786462848068898,0.000932477848151747,0.01360743718997904,x_3,0.004794016803216699,0.007652090947214086,5.8554495864435764e-05
"['h1_2', 'h0_3', 'x_0']",0.017759795992379843,0.002968428274498991,0.008569487974745648,x_0,0.009765904080541494,0.007467911245123881,5.576969836504772e-05
"['h1_2', 'h0_4', 'x_0']",0.0174626979976079,0.002918770379309407,0.008426131728164234,x_0,0.009602533368360514,0.007342982926295606,5.3919398255868784e-05
"['h1_5', 'h0_4', 'x_2']",-0.00010309364655978676,0.0008960936673977508,0.012916611998674018,x_2,0.004569870673170661,0.007245734047578795,5.250066188824259e-05
"['h1_1', 'h0_4', 'x_2']",-0.0001483289214887994,0.0008761521492160258,0.012785489074033268,x_2,0.004504437433920165,0.007189871526371181,5.169425256572305e-05
"['h1_4', 'h0_2', 'x_0']",0.0014284611685358665,0.0014951231276083472,0.013819793585696058,x_0,0.005581125960613424,0.007134973309805398,5.0907844131635386e-05
